Parcela,RaG
And_603,0.0724
And_604,0.0967
And_605,0.0646
And_606,0.04
And_607,0.0816
And_608,0.0958
And_609,0.0978
And_610,0.0586
And_611,0.0692
And_612,0.0904
And_613,0.0699
And_614,0.0663
And_615,0.0721
And_616,0.0563
And_617,0.064
And_618,0.0276
And_619,0.1229
And_620,0.0913
And_621,0.1322
And_622,0.0554
And_623,0.0302
And_624,0.138
And_625,0.0981
And_626,0.0965
And_627,0.1128
And_628,0.13
And_629,0.0843
And_630,0.1147
And_631,0.1102
And_632,0.0714
And_633,0.0855
And_634,0.0916
And_635,0.0991
And_636,0.0928
And_637,0.0815
And_638,0.0748
And_639,0.1011
And_640,0.0816
And_641,0.1048
And_642,0.0611
And_643,0.097
And_644,0.1203
And_645,0.0796
And_646,0.0769
And_647,0.097
And_648,0.0721
And_649,0.0848
And_650,0.094
And_651,0.0979
And_652,0.0971
And_653,0.1242
And_654,0.0827
And_655,0.1136
And_656,0.079
And_657,0.0868
And_658,0.1331
And_659,0.0652
And_660,0.0639
And_661,0.073
And_662,0.1128
And_663,0.0733
And_664,0.078
